,NAME,上開,不,之,也,了,云云,以,伊,似,但,係指,全,其,即,卻,又,只,可,在,地,如,就,得,惟查,把,按,於,旋,是,有,此,殆,為,無,然,爰,的,等語,系爭,縱,而,致,與,茲,著,被,足資,這,還,那
10092,蘇永欽,,45.0,64,27.0,11.0,,,,2.0,10.0,,4.0,34,15.0,1.0,2.0,,1.0,25.0,10.0,17.0,17.0,17.0,,2.0,,37,,60.0,42,22,,59,7.0,12.0,,173.0,,5.0,2.0,29,1.0,8.0,,3.0,4.0,,25.0,6.0,
10093,蘇永欽,,30.0,46,22.0,9.0,,1.0,,4.0,8.0,,5.0,25,18.0,3.0,1.0,,,50.0,19.0,16.0,11.0,9.0,,3.0,,42,,74.0,46,11,,52,4.0,10.0,,194.0,,1.0,1.0,22,3.0,15.0,,2.0,5.0,,13.0,1.0,2.0
10094,蘇永欽,,31.0,48,24.0,8.0,,,,4.0,8.0,,3.0,38,14.0,5.0,1.0,,4.0,29.0,21.0,15.0,20.0,10.0,,1.0,,37,,60.0,47,28,,64,11.0,9.0,,218.0,,8.0,,32,5.0,20.0,,1.0,4.0,,12.0,6.0,1.0
10095,蘇永欽,,38.0,60,23.0,5.0,,,,3.0,12.0,,5.0,25,15.0,,5.0,,2.0,43.0,10.0,15.0,15.0,18.0,,3.0,,41,,70.0,31,18,,59,9.0,9.0,,199.0,,1.0,1.0,21,2.0,10.0,,1.0,2.0,,18.0,4.0,
10096,蘇永欽,,32.0,70,21.0,8.0,,1.0,,4.0,6.0,,7.0,44,12.0,,3.0,,1.0,44.0,14.0,16.0,10.0,14.0,,1.0,,49,,64.0,36,18,,61,8.0,11.0,,211.0,,,1.0,32,,17.0,,2.0,5.0,,25.0,5.0,
10097,蘇永欽,,37.0,60,20.0,7.0,,1.0,,2.0,9.0,,3.0,38,13.0,1.0,5.0,,5.0,38.0,18.0,15.0,6.0,13.0,,3.0,,41,,54.0,51,11,,55,11.0,11.0,,188.0,,4.0,2.0,32,2.0,16.0,,2.0,3.0,,17.0,4.0,1.0
10098,蘇永欽,,26.0,48,17.0,8.0,,,,5.0,10.0,,6.0,30,21.0,2.0,3.0,,4.0,37.0,12.0,12.0,9.0,13.0,,4.0,,36,,50.0,51,11,,58,13.0,7.0,,217.0,,5.0,,31,3.0,12.0,,2.0,4.0,,14.0,8.0,1.0
10099,蘇永欽,,31.0,64,12.0,7.0,,1.0,,2.0,14.0,,4.0,30,19.0,3.0,2.0,,3.0,38.0,12.0,13.0,14.0,12.0,,,,46,,58.0,44,20,,67,6.0,5.0,,203.0,,1.0,,26,2.0,13.0,,2.0,4.0,,17.0,3.0,3.0
10100,蘇永欽,,39.0,70,15.0,11.0,,1.0,,1.0,5.0,,6.0,23,27.0,5.0,3.0,,4.0,36.0,11.0,10.0,12.0,14.0,,,,45,,62.0,44,25,,53,20.0,7.0,,198.0,,1.0,1.0,29,2.0,15.0,,2.0,4.0,,22.0,3.0,
10101,蘇永欽,,41.0,64,19.0,4.0,,1.0,,1.0,10.0,,6.0,29,10.0,5.0,3.0,,1.0,36.0,22.0,16.0,13.0,8.0,,1.0,,34,,58.0,38,17,,63,10.0,11.0,,187.0,,6.0,,29,3.0,13.0,,4.0,6.0,,14.0,4.0,
