,余雪明,城仲模,廖義男,彭鳳至,徐璧湖,曾有田,李震山,林子儀,林永謀,林錫堯,楊仁壽,池啟明,王和雄,翁岳生,葉百修,蔡清遊,蘇永欽,許宗力,許玉秀,謝在全,賴英照,陳敏,陳新民,陳春生,黃茂榮
523.0,0.0,0.0,0.02,0.02,0.0,0.04,0.15,0.0,0.0,0.13,0.01,0.06,0.0,0.0,0.16,0.15,0.02,0.01,0.03,0.01,0.0,0.06,0.01,0.03,0.09
524.0,0.0,0.01,0.04,0.02,0.0,0.0,0.22,0.04,0.05,0.06,0.01,0.03,0.0,0.02,0.1,0.13,0.0,0.03,0.02,0.0,0.0,0.02,0.04,0.05,0.11
525.0,0.03,0.0,0.05,0.01,0.0,0.02,0.18,0.01,0.06,0.08,0.04,0.01,0.0,0.02,0.16,0.13,0.01,0.01,0.0,0.01,0.0,0.02,0.0,0.09,0.06
526.0,0.0,0.0,0.07,0.01,0.0,0.0,0.18,0.01,0.04,0.02,0.04,0.0,0.0,0.0,0.03,0.16,0.01,0.01,0.05,0.0,0.06,0.05,0.02,0.03,0.21
527.0,0.01,0.0,0.02,0.01,0.0,0.0,0.07,0.02,0.0,0.14,0.04,0.03,0.0,0.0,0.17,0.09,0.02,0.0,0.03,0.0,0.01,0.06,0.03,0.04,0.21
528.0,0.0,0.02,0.02,0.02,0.0,0.0,0.04,0.0,0.03,0.14,0.02,0.01,0.0,0.0,0.15,0.16,0.0,0.0,0.06,0.01,0.03,0.07,0.0,0.02,0.2
529.0,0.01,0.0,0.07,0.0,0.0,0.04,0.07,0.07,0.05,0.11,0.01,0.05,0.01,0.02,0.18,0.05,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.02,0.14
530.0,0.0,0.0,0.02,0.01,0.0,0.0,0.07,0.03,0.02,0.11,0.08,0.01,0.0,0.03,0.14,0.11,0.02,0.0,0.02,0.01,0.02,0.02,0.01,0.03,0.24
531.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.04,0.0,0.22,0.0,0.03,0.0,0.02,0.18,0.14,0.0,0.0,0.01,0.0,0.0,0.11,0.01,0.03,0.13
532.0,0.0,0.0,0.03,0.0,0.0,0.0,0.14,0.0,0.03,0.03,0.05,0.01,0.01,0.0,0.15,0.3,0.0,0.0,0.08,0.02,0.02,0.05,0.0,0.04,0.04
533.0,0.01,0.0,0.01,0.0,0.0,0.01,0.27,0.05,0.02,0.1,0.01,0.0,0.03,0.0,0.07,0.09,0.0,0.02,0.03,0.04,0.0,0.04,0.01,0.01,0.18
534.0,0.0,0.01,0.01,0.0,0.0,0.02,0.14,0.03,0.0,0.07,0.02,0.05,0.02,0.0,0.23,0.07,0.02,0.0,0.07,0.01,0.01,0.02,0.01,0.06,0.13
535.0,0.01,0.01,0.03,0.03,0.0,0.01,0.19,0.09,0.0,0.02,0.01,0.0,0.0,0.0,0.22,0.05,0.01,0.01,0.02,0.02,0.05,0.0,0.08,0.06,0.08
536.0,0.01,0.0,0.03,0.01,0.0,0.0,0.13,0.02,0.08,0.03,0.04,0.01,0.01,0.0,0.13,0.23,0.0,0.0,0.04,0.03,0.02,0.02,0.0,0.06,0.1
537.0,0.0,0.0,0.11,0.0,0.0,0.0,0.08,0.01,0.04,0.02,0.05,0.02,0.03,0.0,0.11,0.23,0.01,0.01,0.11,0.01,0.0,0.02,0.02,0.0,0.12
538.0,0.0,0.0,0.08,0.01,0.0,0.0,0.07,0.01,0.02,0.02,0.02,0.02,0.01,0.0,0.1,0.22,0.05,0.01,0.06,0.03,0.03,0.05,0.0,0.03,0.16
539.0,0.03,0.0,0.0,0.02,0.0,0.0,0.1,0.02,0.05,0.05,0.04,0.01,0.03,0.0,0.06,0.23,0.0,0.03,0.07,0.04,0.09,0.03,0.0,0.01,0.09
540.0,0.0,0.0,0.03,0.0,0.0,0.0,0.15,0.05,0.01,0.19,0.02,0.01,0.0,0.03,0.09,0.2,0.03,0.0,0.0,0.02,0.0,0.03,0.02,0.02,0.1
541.0,0.04,0.0,0.15,0.08,0.01,0.01,0.06,0.0,0.03,0.03,0.07,0.0,0.0,0.0,0.02,0.12,0.05,0.03,0.11,0.05,0.06,0.01,0.01,0.03,0.03
542.0,0.0,0.0,0.03,0.0,0.0,0.0,0.09,0.0,0.1,0.1,0.04,0.01,0.0,0.01,0.04,0.39,0.01,0.01,0.02,0.02,0.01,0.03,0.0,0.04,0.05
543.0,0.0,0.01,0.04,0.0,0.01,0.02,0.1,0.0,0.02,0.13,0.01,0.05,0.01,0.03,0.16,0.22,0.0,0.0,0.01,0.02,0.03,0.02,0.01,0.04,0.06
544.0,0.01,0.0,0.07,0.03,0.0,0.0,0.12,0.02,0.08,0.1,0.07,0.01,0.0,0.0,0.06,0.16,0.02,0.02,0.05,0.01,0.0,0.02,0.0,0.01,0.14
545.0,0.0,0.0,0.01,0.02,0.0,0.02,0.12,0.02,0.0,0.17,0.01,0.04,0.0,0.0,0.1,0.26,0.0,0.0,0.04,0.0,0.0,0.09,0.0,0.03,0.07
546.0,0.0,0.0,0.0,0.05,0.0,0.03,0.12,0.02,0.0,0.25,0.0,0.01,0.0,0.01,0.13,0.11,0.01,0.01,0.01,0.01,0.01,0.04,0.03,0.07,0.08
547.0,0.0,0.0,0.01,0.05,0.0,0.04,0.18,0.01,0.01,0.15,0.02,0.11,0.0,0.0,0.14,0.09,0.01,0.01,0.03,0.04,0.01,0.02,0.02,0.02,0.03
548.0,0.0,0.0,0.0,0.02,0.0,0.03,0.12,0.01,0.01,0.16,0.01,0.02,0.0,0.0,0.25,0.09,0.01,0.02,0.03,0.0,0.01,0.0,0.01,0.17,0.03
